Length (mm),Status
156,Died
158,Died
160,Died
160,Died
160,Died
161,Died
161,Died
161,Died
161,Died
161,Died
162,Died
162,Died
162,Died
162,Died
162,Died
162,Died
163,Died
163,Died
164,Died
165,Died
165,Died
165,Died
166,Died
166,Died
153,Survived
154,Survived
154,Survived
155,Survived
156,Survived
156,Survived
157,Survived
157,Survived
158,Survived
158,Survived
158,Survived
158,Survived
158,Survived
159,Survived
159,Survived
159,Survived
159,Survived
159,Survived
160,Survived
160,Survived
160,Survived
160,Survived
160,Survived
160,Survived
160,Survived
160,Survived
160,Survived
161,Survived
161,Survived
161,Survived
161,Survived
162,Survived
163,Survived
165,Survived
166,Survived
